Order_ID,Order_Date,Region,Country,City,Product_Category,Product_Name,Sales_Representative,Customer_Type,Quantity,Unit_Price,Sales_Amount,Cost_Amount,Profit
1024,2025-03-09,East,India,Bhubaneswar,Furniture,Conference Table,Neha Gupta,Corporate,16,40000,640000,393133.47,246866.53
1025,2025-08-09,West,India,Pune,Electronics,Smartphone,Karan Patel,Corporate,4,30000,120000,69489.51,50510.49
1026,2025-12-01,West,India,Mumbai,Stationery,Printer Paper,Amit Sharma,Corporate,206,300,61800,34994.33,26805.67
1027,2025-04-09,East,India,Kolkata,Stationery,Printer Paper,Sneha Joshi,Retail,240,300,72000,41960.21,30039.79
1028,2025-02-08,West,India,Pune,Electronics,Smartphone,Priya Mehta,Retail,9,30000,270000,185972.87,84027.13
1029,2025-09-06,North,India,Chandigarh,Electronics,Laptop,Neha Gupta,Corporate,8,55000,440000,263953.07,176046.93
1030,2025-07-19,North,India,Chandigarh,Electronics,Smartphone,Sneha Joshi,Corporate,13,30000,390000,214752.18,175247.82
1031,2025-09-07,West,India,Mumbai,Furniture,Conference Table,Neha Gupta,Corporate,18,40000,720000,538964.2,181035.8
1032,2025-02-01,South,India,Chennai,Electronics,Laptop,Amit Sharma,Retail,19,55000,1045000,805403.61,239596.39
1033,2025-09-18,West,India,Mumbai,Furniture,Desk,Rahul Nair,Retail,17,15000,255000,152293.6,102706.4
1034,2025-10-19,North,India,Delhi,Furniture,Conference Table,Amit Sharma,Retail,8,40000,320000,214762.45,105237.55
1035,2025-06-11,West,India,Pune,Furniture,Conference Table,Neha Gupta,Corporate,19,40000,760000,546871.74,213128.26
1036,2025-11-27,South,India,Chennai,Electronics,Tablet,Sneha Joshi,Corporate,13,20000,260000,153208.51,106791.49
1037,2025-10-16,North,India,Delhi,Electronics,Laptop,Priya Mehta,Retail,15,55000,825000,607486.92,217513.08
1038,2025-05-06,East,India,Bhubaneswar,Electronics,Smartphone,Vikram Singh,Retail,12,30000,360000,293133.33,66866.67
1039,2025-11-10,West,India,Mumbai,Stationery,Printer Paper,Vikram Singh,Retail,159,300,47700,36302.66,11397.34
1040,2025-10-11,South,India,Bengaluru,Electronics,Tablet,Vikram Singh,Corporate,4,20000,80000,65353.1,14646.9
1041,2025-11-21,South,India,Chennai,Furniture,Conference Table,Sneha Joshi,Corporate,11,40000,440000,268874.85,171125.15
1042,2025-01-23,North,India,Delhi,Electronics,Laptop,Ananya Rao,Retail,14,55000,770000,615079.41,154920.59
1043,2025-08-07,East,India,Kolkata,Electronics,Smartphone,Priya Mehta,Retail,15,30000,450000,321976.86,128023.14
1044,2025-10-26,South,India,Bengaluru,Furniture,Desk,Karan Patel,Retail,2,15000,30000,24011.36,5988.64
1045,2025-01-21,North,India,Chandigarh,Electronics,Tablet,Neha Gupta,Retail,12,20000,240000,196726.67,43273.33
1046,2025-07-28,North,India,Delhi,Electronics,Tablet,Neha Gupta,Retail,18,20000,360000,293486.55,66513.45
1047,2025-06-20,South,India,Chennai,Furniture,Office Chair,Neha Gupta,Corporate,1,5000,5000,3019.04,1980.96
1048,2025-01-20,South,India,Chennai,Stationery,Printer Paper,Neha Gupta,Retail,199,300,59700,34770.99,24929.01
1049,2025-04-27,West,India,Mumbai,Electronics,Tablet,Amit Sharma,Retail,10,20000,200000,159232.18,40767.82
1050,2025-05-23,West,India,Pune,Electronics,Tablet,Karan Patel,Corporate,9,20000,180000,145675.06,34324.94
1051,2025-05-16,North,India,Delhi,Electronics,Laptop,Priya Mehta,Corporate,9,55000,495000,298767.32,196232.68
1052,2025-09-19,East,India,Kolkata,Furniture,Conference Table,Karan Patel,Retail,11,40000,440000,299603.99,140396.01
1053,2025-10-03,East,India,Kolkata,Electronics,Laptop,Ananya Rao,Corporate,14,55000,770000,423890.69,346109.31
1054,2025-12-06,North,India,Delhi,Furniture,Conference Table,Vikram Singh,Corporate,11,40000,440000,324256.51,115743.49
1055,2025-10-11,West,India,Mumbai,Electronics,Tablet,Neha Gupta,Corporate,13,20000,260000,197382.26,62617.74
1056,2025-06-04,West,India,Pune,Furniture,Conference Table,Amit Sharma,Corporate,6,40000,240000,176317.07,63682.93
1057,2025-11-07,East,India,Bhubaneswar,Electronics,Smartphone,Sneha Joshi,Corporate,14,30000,420000,330005.61,89994.39
1058,2025-03-28,West,India,Mumbai,Furniture,Conference Table,Vikram Singh,Corporate,7,40000,280000,196938.62,83061.38
1059,2025-06-08,North,India,Delhi,Stationery,Printer Paper,Neha Gupta,Retail,212,300,63600,39461.29,24138.71
1060,2025-11-09,North,India,Delhi,Electronics,Laptop,Sneha Joshi,Corporate,8,55000,440000,371879.56,68120.44
1061,2025-05-05,South,India,Bengaluru,Furniture,Conference Table,Amit Sharma,Retail,13,40000,520000,363122.84,156877.16
1062,2025-12-23,West,India,Pune,Electronics,Smartphone,Amit Sharma,Retail,6,30000,180000,142421.93,37578.07
1063,2025-12-08,North,India,Chandigarh,Furniture,Office Chair,Sneha Joshi,Corporate,5,5000,25000,19760.62,5239.38
1064,2025-05-07,West,India,Pune,Electronics,Smartphone,Sneha Joshi,Retail,16,30000,480000,328810.05,151189.95
1065,2025-05-01,East,India,Bhubaneswar,Furniture,Office Chair,Ananya Rao,Corporate,3,5000,15000,11460.95,3539.05
1066,2025-12-22,North,India,Delhi,Electronics,Smartphone,Neha Gupta,Retail,5,30000,150000,92906.77,57093.23
1067,2025-08-01,West,India,Mumbai,Furniture,Office Chair,Neha Gupta,Corporate,11,5000,55000,39203.08,15796.92
1068,2025-01-11,West,India,Pune,Stationery,Printer Paper,Sneha Joshi,Retail,169,300,50700,42274.6,8425.4
1069,2025-08-03,East,India,Kolkata,Electronics,Tablet,Sneha Joshi,Retail,13,20000,260000,209568.94,50431.06
1070,2025-06-22,East,India,Bhubaneswar,Furniture,Office Chair,Rahul Nair,Corporate,16,5000,80000,44696.6,35303.4
1071,2025-07-21,South,India,Bengaluru,Furniture,Desk,Priya Mehta,Corporate,18,15000,270000,150684.28,119315.72
1072,2025-05-14,South,India,Chennai,Stationery,Printer Paper,Ananya Rao,Retail,138,300,41400,25027.07,16372.93
1073,2025-07-14,West,India,Pune,Electronics,Tablet,Karan Patel,Corporate,11,20000,220000,171241.16,48758.84
1074,2025-01-27,North,India,Chandigarh,Furniture,Office Chair,Neha Gupta,Retail,1,5000,5000,3873.54,1126.46
1075,2025-04-13,North,India,Delhi,Stationery,Printer Paper,Rahul Nair,Retail,27,300,8100,6762.56,1337.44
1076,2025-04-22,South,India,Chennai,Furniture,Office Chair,Vikram Singh,Corporate,4,5000,20000,14383.82,5616.18
1077,2025-02-28,South,India,Bengaluru,Furniture,Desk,Vikram Singh,Retail,20,15000,300000,251736.13,48263.87
1078,2025-07-12,North,India,Chandigarh,Electronics,Tablet,Neha Gupta,Retail,19,20000,380000,286217.59,93782.41
1079,2025-11-04,South,India,Bengaluru,Electronics,Laptop,Amit Sharma,Corporate,10,55000,550000,442798.38,107201.62
1080,2025-11-28,West,India,Pune,Furniture,Conference Table,Amit Sharma,Corporate,12,40000,480000,273929.77,206070.23
1081,2025-11-22,West,India,Pune,Electronics,Laptop,Rahul Nair,Corporate,14,55000,770000,645441.93,124558.07
1082,2025-05-19,South,India,Chennai,Furniture,Conference Table,Sneha Joshi,Corporate,17,40000,680000,570956.64,109043.36
1083,2025-02-14,East,India,Bhubaneswar,Electronics,Tablet,Sneha Joshi,Retail,8,20000,160000,127875.09,32124.91
1084,2025-06-22,West,India,Mumbai,Furniture,Desk,Sneha Joshi,Corporate,20,15000,300000,225136.96,74863.04
1085,2025-05-13,South,India,Chennai,Furniture,Office Chair,Vikram Singh,Corporate,7,5000,35000,22975.66,12024.34
1086,2025-07-28,North,India,Chandigarh,Furniture,Desk,Neha Gupta,Corporate,7,15000,105000,60446.81,44553.19
1087,2025-04-24,West,India,Pune,Furniture,Office Chair,Neha Gupta,Corporate,1,5000,5000,2889.58,2110.42
1088,2025-08-06,East,India,Bhubaneswar,Furniture,Office Chair,Ananya Rao,Corporate,18,5000,90000,63834.89,26165.11
1089,2025-04-09,East,India,Bhubaneswar,Electronics,Tablet,Priya Mehta,Retail,9,20000,180000,111449.05,68550.95
1090,2025-10-29,South,India,Chennai,Electronics,Smartphone,Priya Mehta,Retail,16,30000,480000,303815.95,176184.05
1091,2025-01-08,East,India,Kolkata,Electronics,Smartphone,Vikram Singh,Retail,12,30000,360000,217379.69,142620.31
1092,2025-03-06,North,India,Chandigarh,Furniture,Desk,Priya Mehta,Retail,10,15000,150000,113883.78,36116.22
1093,2025-04-05,East,India,Kolkata,Furniture,Office Chair,Vikram Singh,Corporate,16,5000,80000,54571.25,25428.75
1094,2025-02-07,North,India,Delhi,Stationery,Printer Paper,Rahul Nair,Retail,36,300,10800,7238.29,3561.71
1095,2025-08-02,East,India,Kolkata,Electronics,Laptop,Karan Patel,Corporate,8,55000,440000,257635.61,182364.39
1096,2025-06-06,West,India,Mumbai,Electronics,Tablet,Priya Mehta,Retail,19,20000,380000,321863.56,58136.44
1097,2025-03-30,South,India,Bengaluru,Electronics,Tablet,Rahul Nair,Retail,3,20000,60000,35827.03,24172.97
1098,2025-01-17,West,India,Mumbai,Furniture,Office Chair,Vikram Singh,Corporate,20,5000,100000,69097.37,30902.63
1099,2025-11-17,West,India,Mumbai,Electronics,Laptop,Karan Patel,Retail,8,55000,440000,363956.26,76043.74
1100,2025-03-14,South,India,Bengaluru,Furniture,Conference Table,Amit Sharma,Retail,5,40000,200000,164504.69,35495.31
1101,2025-08-13,East,India,Kolkata,Furniture,Desk,Sneha Joshi,Corporate,19,15000,285000,235511.96,49488.04
1102,2025-08-13,West,India,Mumbai,Electronics,Tablet,Amit Sharma,Corporate,17,20000,340000,242078.12,97921.88
1103,2025-04-28,East,India,Kolkata,Furniture,Desk,Vikram Singh,Retail,9,15000,135000,75297.53,59702.47
1104,2025-05-23,South,India,Bengaluru,Furniture,Office Chair,Karan Patel,Corporate,17,5000,85000,63363.49,21636.51
1105,2025-06-14,North,India,Delhi,Furniture,Office Chair,Rahul Nair,Corporate,12,5000,60000,40350.27,19649.73
1106,2025-07-25,West,India,Mumbai,Furniture,Conference Table,Sneha Joshi,Retail,16,40000,640000,407337.82,232662.18
1107,2025-07-26,East,India,Kolkata,Electronics,Tablet,Sneha Joshi,Corporate,11,20000,220000,128650.83,91349.17
1108,2025-09-13,North,India,Chandigarh,Electronics,Smartphone,Amit Sharma,Retail,17,30000,510000,335852.24,174147.76
1109,2025-08-13,East,India,Bhubaneswar,Furniture,Desk,Priya Mehta,Retail,5,15000,75000,62122.64,12877.36
1110,2025-01-08,South,India,Chennai,Furniture,Conference Table,Priya Mehta,Retail,6,40000,240000,154374.01,85625.99
1111,2025-03-20,North,India,Chandigarh,Furniture,Office Chair,Vikram Singh,Corporate,4,5000,20000,14886.26,5113.74
1112,2025-05-05,West,India,Pune,Stationery,Printer Paper,Rahul Nair,Corporate,143,300,42900,36210.75,6689.25
1113,2025-03-11,South,India,Bengaluru,Furniture,Desk,Vikram Singh,Corporate,17,15000,255000,197341.38,57658.62
1114,2025-01-02,East,India,Bhubaneswar,Stationery,Printer Paper,Vikram Singh,Corporate,149,300,44700,28167.79,16532.21
1115,2025-06-20,South,India,Chennai,Furniture,Office Chair,Sneha Joshi,Corporate,18,5000,90000,62577.22,27422.78
1116,2025-04-30,South,India,Chennai,Furniture,Conference Table,Amit Sharma,Corporate,8,40000,320000,230892.57,89107.43
1117,2025-12-06,West,India,Mumbai,Furniture,Conference Table,Sneha Joshi,Retail,13,40000,520000,346228.29,173771.71
1118,2025-02-21,South,India,Chennai,Furniture,Desk,Priya Mehta,Corporate,19,15000,285000,185135.55,99864.45
1119,2025-12-02,North,India,Delhi,Furniture,Conference Table,Priya Mehta,Corporate,5,40000,200000,134598.72,65401.28
1120,2025-11-29,East,India,Kolkata,Electronics,Tablet,Ananya Rao,Corporate,20,20000,400000,303124.55,96875.45
1121,2025-01-19,East,India,Kolkata,Furniture,Conference Table,Neha Gupta,Corporate,16,40000,640000,519497.54,120502.46
1122,2025-02-20,South,India,Bengaluru,Furniture,Conference Table,Sneha Joshi,Retail,3,40000,120000,81622.97,38377.03
1123,2025-01-29,East,India,Bhubaneswar,Electronics,Laptop,Ananya Rao,Corporate,2,55000,110000,71204.36,38795.64
1124,2025-10-17,West,India,Mumbai,Electronics,Smartphone,Rahul Nair,Retail,8,30000,240000,170243.97,69756.03
1125,2025-05-04,North,India,Chandigarh,Furniture,Desk,Rahul Nair,Retail,13,15000,195000,143503.06,51496.94
1126,2025-12-08,West,India,Mumbai,Furniture,Conference Table,Sneha Joshi,Corporate,9,40000,360000,247633.61,112366.39
1127,2025-10-28,South,India,Chennai,Electronics,Laptop,Karan Patel,Corporate,15,55000,825000,687695.82,137304.18
1128,2025-07-16,West,India,Pune,Stationery,Printer Paper,Priya Mehta,Retail,97,300,29100,17744.16,11355.84
1129,2025-12-25,West,India,Pune,Furniture,Desk,Amit Sharma,Corporate,12,15000,180000,130039.84,49960.16
1130,2025-01-26,East,India,Bhubaneswar,Electronics,Laptop,Vikram Singh,Retail,19,55000,1045000,845948.63,199051.37
1131,2025-12-14,East,India,Kolkata,Electronics,Smartphone,Priya Mehta,Retail,7,30000,210000,154616.14,55383.86
1132,2025-07-06,East,India,Kolkata,Stationery,Printer Paper,Priya Mehta,Corporate,132,300,39600,22176.37,17423.63
1133,2025-03-09,East,India,Bhubaneswar,Furniture,Conference Table,Vikram Singh,Retail,14,40000,560000,337507.53,222492.47
1134,2025-06-01,East,India,Bhubaneswar,Stationery,Printer Paper,Priya Mehta,Corporate,143,300,42900,36045.23,6854.77
1135,2025-12-12,North,India,Chandigarh,Electronics,Smartphone,Ananya Rao,Retail,8,30000,240000,193930.12,46069.88
1136,2025-08-21,West,India,Pune,Electronics,Laptop,Vikram Singh,Corporate,9,55000,495000,351930.99,143069.01
1137,2025-11-14,East,India,Bhubaneswar,Electronics,Laptop,Neha Gupta,Retail,8,55000,440000,304234.95,135765.05
1138,2025-03-01,West,India,Mumbai,Furniture,Conference Table,Amit Sharma,Retail,10,40000,400000,297908.73,102091.27
1139,2025-10-03,East,India,Kolkata,Furniture,Office Chair,Karan Patel,Corporate,4,5000,20000,11583.15,8416.85
1140,2025-03-21,East,India,Bhubaneswar,Furniture,Conference Table,Priya Mehta,Corporate,18,40000,720000,486531.38,233468.62
1141,2025-04-22,West,India,Pune,Electronics,Tablet,Sneha Joshi,Retail,2,20000,40000,30283.37,9716.63
1142,2025-11-27,East,India,Bhubaneswar,Electronics,Laptop,Amit Sharma,Corporate,12,55000,660000,470804.24,189195.76
1143,2025-08-21,East,India,Kolkata,Electronics,Smartphone,Neha Gupta,Retail,4,30000,120000,100164.39,19835.61
1144,2025-03-06,North,India,Delhi,Stationery,Printer Paper,Priya Mehta,Retail,105,300,31500,19626.73,11873.27
1145,2025-03-17,South,India,Bengaluru,Stationery,Printer Paper,Vikram Singh,Retail,242,300,72600,45004.71,27595.29
1146,2025-02-26,South,India,Bengaluru,Furniture,Desk,Rahul Nair,Retail,9,15000,135000,106589.81,28410.19
1147,2025-06-15,East,India,Kolkata,Stationery,Printer Paper,Rahul Nair,Corporate,221,300,66300,41197.46,25102.54
1148,2025-02-02,North,India,Chandigarh,Electronics,Smartphone,Sneha Joshi,Corporate,14,30000,420000,297286.78,122713.22
1149,2025-11-11,North,India,Delhi,Furniture,Office Chair,Vikram Singh,Corporate,17,5000,85000,52399.52,32600.48
1150,2025-08-07,North,India,Delhi,Electronics,Laptop,Sneha Joshi,Corporate,16,55000,880000,707686.82,172313.18
1151,2025-02-03,North,India,Delhi,Electronics,Laptop,Vikram Singh,Corporate,11,55000,605000,443155.98,161844.02
1152,2025-09-16,West,India,Pune,Furniture,Desk,Priya Mehta,Retail,17,15000,255000,162809.68,92190.32
1153,2025-07-31,South,India,Chennai,Furniture,Office Chair,Sneha Joshi,Corporate,15,5000,75000,61232.05,13767.95
1154,2025-06-10,West,India,Pune,Furniture,Conference Table,Ananya Rao,Retail,4,40000,160000,103002.32,56997.68
1155,2025-02-17,West,India,Pune,Electronics,Laptop,Priya Mehta,Corporate,3,55000,165000,131922.71,33077.29
1156,2025-10-15,South,India,Chennai,Furniture,Desk,Priya Mehta,Corporate,2,15000,30000,21778.19,8221.81
1157,2025-08-05,East,India,Kolkata,Stationery,Printer Paper,Vikram Singh,Corporate,190,300,57000,47443.32,9556.68
1158,2025-03-21,East,India,Bhubaneswar,Electronics,Laptop,Neha Gupta,Retail,19,55000,1045000,733823.83,311176.17
1159,2025-05-23,East,India,Kolkata,Stationery,Printer Paper,Karan Patel,Retail,162,300,48600,32089.04,16510.96
1160,2025-06-08,East,India,Bhubaneswar,Electronics,Laptop,Ananya Rao,Retail,6,55000,330000,208553.77,121446.23
1161,2025-07-25,South,India,Bengaluru,Stationery,Printer Paper,Rahul Nair,Retail,56,300,16800,12094.26,4705.74
1162,2025-08-03,North,India,Chandigarh,Furniture,Conference Table,Ananya Rao,Retail,17,40000,680000,417887.11,262112.89
1163,2025-10-18,East,India,Kolkata,Electronics,Tablet,Amit Sharma,Retail,11,20000,220000,172271.15,47728.85
1164,2025-02-11,South,India,Chennai,Stationery,Printer Paper,Sneha Joshi,Corporate,178,300,53400,30167.2,23232.8
1165,2025-04-21,West,India,Mumbai,Furniture,Desk,Ananya Rao,Corporate,15,15000,225000,151707.4,73292.6
1166,2025-12-08,North,India,Chandigarh,Electronics,Tablet,Amit Sharma,Retail,19,20000,380000,264476.13,115523.87
1167,2025-06-04,West,India,Mumbai,Furniture,Desk,Rahul Nair,Corporate,2,15000,30000,16569.18,13430.82
1168,2025-08-09,East,India,Kolkata,Electronics,Tablet,Rahul Nair,Corporate,4,20000,80000,44185.52,35814.48
1169,2025-07-01,South,India,Bengaluru,Furniture,Desk,Karan Patel,Retail,18,15000,270000,216001.69,53998.31
1170,2025-06-10,West,India,Pune,Electronics,Laptop,Karan Patel,Corporate,15,55000,825000,681737.7,143262.3
1171,2025-06-16,East,India,Kolkata,Electronics,Laptop,Sneha Joshi,Corporate,13,55000,715000,397723.73,317276.27
1172,2025-10-29,North,India,Chandigarh,Furniture,Office Chair,Priya Mehta,Corporate,4,5000,20000,12459.9,7540.1
1173,2025-03-28,East,India,Kolkata,Furniture,Conference Table,Priya Mehta,Retail,11,40000,440000,271247.51,168752.49
1174,2025-03-16,East,India,Bhubaneswar,Electronics,Tablet,Neha Gupta,Retail,5,20000,100000,62088.07,37911.93
1175,2025-04-01,South,India,Chennai,Stationery,Printer Paper,Sneha Joshi,Corporate,214,300,64200,47935.1,16264.9
1176,2025-08-14,East,India,Kolkata,Stationery,Printer Paper,Sneha Joshi,Corporate,180,300,54000,34821.45,19178.55
1177,2025-06-30,East,India,Kolkata,Stationery,Printer Paper,Vikram Singh,Corporate,90,300,27000,19640.5,7359.5
1178,2025-05-27,West,India,Mumbai,Electronics,Laptop,Priya Mehta,Corporate,2,55000,110000,72668.34,37331.66
1179,2025-01-22,West,India,Pune,Furniture,Desk,Neha Gupta,Corporate,18,15000,270000,225792.75,44207.25
1180,2025-08-19,West,India,Mumbai,Furniture,Desk,Ananya Rao,Retail,5,15000,75000,62798.75,12201.25
1181,2025-08-13,South,India,Bengaluru,Electronics,Laptop,Ananya Rao,Corporate,8,55000,440000,335406.06,104593.94
1182,2025-12-14,East,India,Kolkata,Furniture,Office Chair,Ananya Rao,Retail,14,5000,70000,54763.76,15236.24
1183,2025-05-26,East,India,Bhubaneswar,Electronics,Laptop,Rahul Nair,Corporate,18,55000,990000,745978.67,244021.33
1184,2025-06-08,North,India,Chandigarh,Furniture,Desk,Rahul Nair,Retail,5,15000,75000,61876.8,13123.2
1185,2025-06-18,East,India,Kolkata,Furniture,Desk,Priya Mehta,Corporate,13,15000,195000,144894.36,50105.64
1186,2025-04-20,East,India,Bhubaneswar,Electronics,Laptop,Sneha Joshi,Retail,12,55000,660000,424155.48,235844.52
1187,2025-02-21,South,India,Bengaluru,Electronics,Smartphone,Ananya Rao,Retail,5,30000,150000,85972.43,64027.57
1188,2025-12-21,West,India,Mumbai,Electronics,Smartphone,Sneha Joshi,Retail,6,30000,180000,108765.68,71234.32
1189,2025-11-09,West,India,Pune,Electronics,Tablet,Sneha Joshi,Retail,8,20000,160000,134540.25,25459.75
1190,2025-04-10,South,India,Chennai,Electronics,Tablet,Sneha Joshi,Corporate,16,20000,320000,262781.54,57218.46
1191,2025-08-03,East,India,Kolkata,Stationery,Printer Paper,Neha Gupta,Retail,117,300,35100,24600.61,10499.39
1192,2025-10-11,East,India,Kolkata,Electronics,Laptop,Priya Mehta,Corporate,16,55000,880000,714766.87,165233.13
1193,2025-09-20,North,India,Delhi,Stationery,Printer Paper,Karan Patel,Retail,61,300,18300,11562.62,6737.38
1194,2025-01-14,South,India,Chennai,Stationery,Printer Paper,Amit Sharma,Corporate,135,300,40500,33023.25,7476.75
1195,2025-07-11,East,India,Kolkata,Electronics,Smartphone,Amit Sharma,Corporate,13,30000,390000,330859.47,59140.53
1196,2025-03-16,North,India,Delhi,Stationery,Printer Paper,Amit Sharma,Corporate,202,300,60600,45146.29,15453.71
1197,2025-08-29,West,India,Pune,Furniture,Conference Table,Amit Sharma,Retail,5,40000,200000,155530.47,44469.53
1198,2025-10-08,North,India,Chandigarh,Electronics,Tablet,Priya Mehta,Corporate,7,20000,140000,112068.45,27931.55
1199,2025-08-03,South,India,Chennai,Electronics,Tablet,Priya Mehta,Retail,4,20000,80000,45145.99,34854.01
1200,2025-09-21,West,India,Mumbai,Furniture,Desk,Rahul Nair,Corporate,18,15000,270000,149831.26,120168.74
1201,2025-10-20,West,India,Pune,Electronics,Laptop,Rahul Nair,Retail,20,55000,1100000,721429.29,378570.71
1202,2025-09-17,East,India,Kolkata,Electronics,Laptop,Karan Patel,Corporate,17,55000,935000,666864.99,268135.01
1203,2025-05-10,North,India,Delhi,Furniture,Conference Table,Ananya Rao,Retail,13,40000,520000,439042.15,80957.85
1204,2025-06-20,East,India,Kolkata,Electronics,Smartphone,Amit Sharma,Corporate,4,30000,120000,93774.05,26225.95
1205,2025-12-17,East,India,Bhubaneswar,Stationery,Printer Paper,Sneha Joshi,Retail,184,300,55200,33259.48,21940.52
1206,2025-04-14,South,India,Bengaluru,Electronics,Laptop,Neha Gupta,Retail,15,55000,825000,462903.49,362096.51
1207,2025-10-06,East,India,Bhubaneswar,Electronics,Tablet,Vikram Singh,Retail,17,20000,340000,227618.85,112381.15
1208,2025-01-25,South,India,Chennai,Electronics,Tablet,Vikram Singh,Retail,12,20000,240000,194073.97,45926.03
1209,2025-07-17,East,India,Bhubaneswar,Furniture,Office Chair,Rahul Nair,Corporate,13,5000,65000,50244.5,14755.5
1210,2025-02-12,West,India,Pune,Electronics,Tablet,Priya Mehta,Corporate,17,20000,340000,214205.51,125794.49
1211,2025-02-10,South,India,Chennai,Furniture,Desk,Vikram Singh,Corporate,10,15000,150000,96954.51,53045.49
1212,2025-08-16,West,India,Pune,Furniture,Desk,Sneha Joshi,Retail,14,15000,210000,125998.62,84001.38
1213,2025-01-30,East,India,Kolkata,Furniture,Desk,Karan Patel,Corporate,14,15000,210000,132796.99,77203.01
1214,2025-12-14,South,India,Chennai,Electronics,Laptop,Amit Sharma,Retail,5,55000,275000,221265.22,53734.78
1215,2025-10-18,North,India,Delhi,Electronics,Smartphone,Rahul Nair,Corporate,12,30000,360000,237112.26,122887.74
1216,2025-10-21,East,India,Kolkata,Electronics,Tablet,Ananya Rao,Corporate,15,20000,300000,233677.6,66322.4
1217,2025-02-28,East,India,Kolkata,Furniture,Conference Table,Rahul Nair,Corporate,9,40000,360000,224958.06,135041.94
1218,2025-05-14,West,India,Pune,Furniture,Desk,Neha Gupta,Corporate,4,15000,60000,37711.98,22288.02
1219,2025-02-07,West,India,Pune,Electronics,Smartphone,Rahul Nair,Corporate,4,30000,120000,70886.22,49113.78
1220,2025-06-13,North,India,Chandigarh,Stationery,Printer Paper,Priya Mehta,Corporate,194,300,58200,48903.62,9296.38
1221,2025-12-25,East,India,Kolkata,Stationery,Printer Paper,Ananya Rao,Retail,60,300,18000,13743.77,4256.23
1222,2025-09-10,North,India,Delhi,Electronics,Smartphone,Ananya Rao,Corporate,5,30000,150000,93153.13,56846.87
1223,2025-02-14,West,India,Mumbai,Stationery,Printer Paper,Vikram Singh,Corporate,161,300,48300,28445.39,19854.61
1224,2025-10-22,West,India,Mumbai,Furniture,Desk,Rahul Nair,Corporate,14,15000,210000,163957.37,46042.63
1225,2025-06-26,North,India,Delhi,Furniture,Office Chair,Rahul Nair,Retail,15,5000,75000,56552.45,18447.55
1226,2025-09-23,West,India,Mumbai,Furniture,Desk,Vikram Singh,Retail,2,15000,30000,23982.52,6017.48
